"date","sex","age","ethnicity","population"
"1970-01-01","both","0-4","overall",1702.4
"1970-01-01","both","5-9","overall",1690.3
"1970-01-01","both","10-14","overall",1454.7
"1970-01-01","both","15-19","overall",1197.6
"1970-01-01","both","20-24","overall",921.6
"1970-01-01","both","25-29","overall",692.5
"1970-01-01","both","30-34","overall",659.1
"1970-01-01","both","35-39","overall",521.7
"1970-01-01","both","40-44","overall",457.8
"1970-01-01","both","45-49","overall",382.1
"1970-01-01","both","50-54","overall",336.7
"1970-01-01","both","55-59","overall",273.7
"1970-01-01","both","60-64","overall",234.7
"1970-01-01","both","65-69","overall",145.8
"1970-01-01","both","70+","overall",211.1
"1970-01-01","female","0-4","overall",833.1
"1970-01-01","female","5-9","overall",826.6
"1970-01-01","female","10-14","overall",714.6
"1970-01-01","female","15-19","overall",599.8
"1970-01-01","female","20-24","overall",461.2
"1970-01-01","female","25-29","overall",344.6
"1970-01-01","female","30-34","overall",325.8
"1970-01-01","female","35-39","overall",262.9
"1970-01-01","female","40-44","overall",226.6
"1970-01-01","female","45-49","overall",191.4
"1970-01-01","female","50-54","overall",165.2
"1970-01-01","female","55-59","overall",129.4
"1970-01-01","female","60-64","overall",111.5
"1970-01-01","female","65-69","overall",65.7
"1970-01-01","female","70+","overall",106.3
"1970-01-01","male","0-4","overall",869.3
"1970-01-01","male","5-9","overall",863.7
"1970-01-01","male","10-14","overall",740.1
"1970-01-01","male","15-19","overall",597.8
"1970-01-01","male","20-24","overall",460.4
"1970-01-01","male","25-29","overall",347.9
"1970-01-01","male","30-34","overall",333.3
"1970-01-01","male","35-39","overall",258.8
"1970-01-01","male","40-44","overall",231.2
"1970-01-01","male","45-49","overall",190.8
"1970-01-01","male","50-54","overall",171.5
"1970-01-01","male","55-59","overall",144.3
"1970-01-01","male","60-64","overall",123.2
"1970-01-01","male","65-69","overall",80
"1970-01-01","male","70+","overall",104.8
"1971-01-01","both","0-4","overall",1725.9
"1971-01-01","both","5-9","overall",1689.8
"1971-01-01","both","10-14","overall",1491.3
"1971-01-01","both","15-19","overall",1238.7
"1971-01-01","both","20-24","overall",970.7
"1971-01-01","both","25-29","overall",734.2
"1971-01-01","both","30-34","overall",666.2
"1971-01-01","both","35-39","overall",545.4
"1971-01-01","both","40-44","overall",468.5
"1971-01-01","both","45-49","overall",393.8
"1971-01-01","both","50-54","overall",342.1
"1971-01-01","both","55-59","overall",280.6
"1971-01-01","both","60-64","overall",236.1
"1971-01-01","both","65-69","overall",155.1
"1971-01-01","both","70+","overall",221.2
"1971-01-01","female","0-4","overall",844.2
"1971-01-01","female","5-9","overall",828.3
"1971-01-01","female","10-14","overall",734.4
"1971-01-01","female","15-19","overall",619.1
"1971-01-01","female","20-24","overall",485.4
"1971-01-01","female","25-29","overall",365
"1971-01-01","female","30-34","overall",329.2
"1971-01-01","female","35-39","overall",273.6
"1971-01-01","female","40-44","overall",232.8
"1971-01-01","female","45-49","overall",196.8
"1971-01-01","female","50-54","overall",168.9
"1971-01-01","female","55-59","overall",134.2
"1971-01-01","female","60-64","overall",112.4
"1971-01-01","female","65-69","overall",71.1
"1971-01-01","female","70+","overall",111.2
"1971-01-01","male","0-4","overall",881.6
"1971-01-01","male","5-9","overall",861.5
"1971-01-01","male","10-14","overall",757
"1971-01-01","male","15-19","overall",619.6
"1971-01-01","male","20-24","overall",485.3
"1971-01-01","male","25-29","overall",369.2
"1971-01-01","male","30-34","overall",337
"1971-01-01","male","35-39","overall",271.8
"1971-01-01","male","40-44","overall",235.8
"1971-01-01","male","45-49","overall",197
"1971-01-01","male","50-54","overall",173.3
"1971-01-01","male","55-59","overall",146.4
"1971-01-01","male","60-64","overall",123.7
"1971-01-01","male","65-69","overall",84.1
"1971-01-01","male","70+","overall",110
"1972-01-01","both","0-4","overall",1758
"1972-01-01","both","5-9","overall",1688.4
"1972-01-01","both","10-14","overall",1528.7
"1972-01-01","both","15-19","overall",1279.5
"1972-01-01","both","20-24","overall",1019.3
"1972-01-01","both","25-29","overall",777.5
"1972-01-01","both","30-34","overall",673
"1972-01-01","both","35-39","overall",570.3
"1972-01-01","both","40-44","overall",478.8
"1972-01-01","both","45-49","overall",405.9
"1972-01-01","both","50-54","overall",347.2
"1972-01-01","both","55-59","overall",287.9
"1972-01-01","both","60-64","overall",237.4
"1972-01-01","both","65-69","overall",164.8
"1972-01-01","both","70+","overall",224.5
"1972-01-01","female","0-4","overall",859.8
"1972-01-01","female","5-9","overall",828.7
"1972-01-01","female","10-14","overall",754.5
"1972-01-01","female","15-19","overall",638.6
"1972-01-01","female","20-24","overall",509.8
"1972-01-01","female","25-29","overall",386.1
"1972-01-01","female","30-34","overall",332.4
"1972-01-01","female","35-39","overall",284.7
"1972-01-01","female","40-44","overall",238.7
"1972-01-01","female","45-49","overall",202.5
"1972-01-01","female","50-54","overall",172.3
"1972-01-01","female","55-59","overall",139.1
"1972-01-01","female","60-64","overall",113.3
"1972-01-01","female","65-69","overall",76.7
"1972-01-01","female","70+","overall",112.6
"1972-01-01","male","0-4","overall",898.2
"1972-01-01","male","5-9","overall",859.7
"1972-01-01","male","10-14","overall",774.2
"1972-01-01","male","15-19","overall",640.9
"1972-01-01","male","20-24","overall",509.5
"1972-01-01","male","25-29","overall",391.4
"1972-01-01","male","30-34","overall",340.6
"1972-01-01","male","35-39","overall",285.6
"1972-01-01","male","40-44","overall",240.1
"1972-01-01","male","45-49","overall",203.4
"1972-01-01","male","50-54","overall",174.9
"1972-01-01","male","55-59","overall",148.8
"1972-01-01","male","60-64","overall",124.1
"1972-01-01","male","65-69","overall",88.1
"1972-01-01","male","70+","overall",111.9
"1973-01-01","both","0-4","overall",1786.9
"1973-01-01","both","5-9","overall",1686.2
"1973-01-01","both","10-14","overall",1564.4
"1973-01-01","both","15-19","overall",1319.9
"1973-01-01","both","20-24","overall",1066.1
"1973-01-01","both","25-29","overall",822.2
"1973-01-01","both","30-34","overall",679.3
"1973-01-01","both","35-39","overall",596.2
"1973-01-01","both","40-44","overall",488.3
"1973-01-01","both","45-49","overall",418.4
"1973-01-01","both","50-54","overall",351.7
"1973-01-01","both","55-59","overall",295.5
"1973-01-01","both","60-64","overall",238.3
"1973-01-01","both","65-69","overall",174.7
"1973-01-01","both","70+","overall",231.6
"1973-01-01","female","0-4","overall",873.8
"1973-01-01","female","5-9","overall",827.9
"1973-01-01","female","10-14","overall",773.7
"1973-01-01","female","15-19","overall",658.7
"1973-01-01","female","20-24","overall",533.9
"1973-01-01","female","25-29","overall",408
"1973-01-01","female","30-34","overall",335.2
"1973-01-01","female","35-39","overall",296.1
"1973-01-01","female","40-44","overall",244.1
"1973-01-01","female","45-49","overall",208.3
"1973-01-01","female","50-54","overall",175.4
"1973-01-01","female","55-59","overall",144.3
"1973-01-01","female","60-64","overall",114.1
"1973-01-01","female","65-69","overall",82.5
"1973-01-01","female","70+","overall",116
"1973-01-01","male","0-4","overall",913.1
"1973-01-01","male","5-9","overall",858.3
"1973-01-01","male","10-14","overall",790.8
"1973-01-01","male","15-19","overall",661.2
"1973-01-01","male","20-24","overall",532.3
"1973-01-01","male","25-29","overall",414.3
"1973-01-01","male","30-34","overall",344.1
"1973-01-01","male","35-39","overall",300.1
